Weather forecast SAMEDAN;;;;;;;;;;;
year;month;day;2;5;8;11;14;17;20;23;
2016;12;21;-3 ;-4 ;-6 ;1 ;2 ;-1 ;-5 ;-7 ;TEMPERATURE (deg C)
2016;12;21;-;-;-;-;-;-;-;-;PRECIPITATION (mm/3h)
2016;12;22;-7 ;-7 ;-7 ;-3 ;0 ;-3 ;-5 ;-5 ;
2016;12;22;-;-;-;-;-;-;-;-;
2016;12;23;-5 ;-6 ;-7 ;-5 ;-1 ;-7 ;-8 ;-9 ;
2016;12;23;-;-;-;-;-;-;-;-;
2016;12;24;-8 ;-7 ;-6 ;-4 ;-2 ;-2 ;-3 ;-5 ;
2016;12;24;-;-;-;-;-;-;-;-;
2016;12;25;-7 ;-7 ;-5 ;-2 ;-1 ;-2 ;-3 ;-3 ;
2016;12;25;-;-;-;-;-;-;-;-;
2016;12;26;-4 ;-4 ;-2 ;0 ;0 ;-1 ;-2 ;-3 ;
2016;12;26;-;-;-;-;-;-;-;-;
2016;12;27;-5 ;-7 ;-9 ;-8 ;-5 ;-8 ;-9 ;-11 ;
2016;12;27;-;-;-;-;-;-;1;1;
WEEK 2;;;Tmax;Tmin;prec;prec-percent;;;;;
2016;12;28;-5;-12;1;30;;;;;
2016;12;29;-2;-9;0;10;;;;;
2016;12;30;-1;-8;0;0;;;;;
2016;12;31;-1;-8;0;5;;;;;
2017;1;1;-2;-8;0;10;;;;;
2017;1;2;-4;-8;2;40;;;;;
2017;1;3;-6;-9;6;50;;;;;
